PoliceDistrict,Year,Population(k)
מחוז ירושלים,1983,472.9
מחוז צפון,1983,656
מחוז מרכז,1983,830.7
מחוז תא,1983,"1,000.20"
מחוז דרומי,1983,478.7
מחוז חוף,1983,575.3
מחוז שי,1983,23.7
מחוז ירושלים,1995,675.2
מחוז צפון,1995,946.9
מחוז מרכז,1995,"1,216.30"
מחוז תא,1995,"1,142.00"
מחוז דרומי,1995,754.7
מחוז חוף,1995,743
מחוז שי,1995,134.3
מחוז ירושלים,2008,904.1
מחוז צפון,2008,"1,242.10"
מחוז מרכז,2008,"1,770.40"
מחוז תא,2008,"1,258.80"
מחוז דרומי,2008,"1,067.40"
מחוז חוף,2008,888.3
מחוז שי,2008,281.1
מחוז ירושלים,2020,1180.27
מחוז שי,2020,444.99
מחוז צפון,2020,1499.7
מחוז דרומי,2020,1364.74
מחוז תא,2020,1460.22
מחוז חוף,2020,1080.41
מחוז מרכז,2020,2255.44
מחוז ירושלים,2021,"1,209.70"
מחוז צפון,2021,"1,513.60"
מחוז מרכז,2021,"2,304.30"
מחוז תא,2021,"1,481.40"
מחוז דרומי,2021,"1,386.00"
מחוז חוף,2021,"1,092.70"
מחוז שי,2021,465.4
מחוז ירושלים,2022,"1,239.30"
מחוז צפון,2022,"1,542.10"
מחוז מרכז,2022,"2,347.70"
מחוז תא,2022,"1,507.30"
מחוז דרומי,2022,"1,422.70"
מחוז חוף,2022,"1,124.40"
מחוז שי,2022,478.6
מחוז ירושלים,2023,1239.43
מחוז שי,2023,480.56
מחוז צפון,2023,1567.22
מחוז דרומי,2023,1437.17
מחוז תא,2023,1498.73
מחוז חוף,2023,1121.75
מחוז מרכז,2023,2374.07
